the input_files/RomeoAndJuliet.txt:866
perjuries input_files/RomeoAndJuliet.txt:1
jove input_files/RomeoAndJuliet.txt:1
laughs input_files/RomeoAndJuliet.txt:1
faithfully input_files/RomeoAndJuliet.txt:1
thinkest input_files/RomeoAndJuliet.txt:1
won input_files/RomeoAndJuliet.txt:1
perverse input_files/RomeoAndJuliet.txt:1
fond input_files/RomeoAndJuliet.txt:3
haviour input_files/RomeoAndJuliet.txt:1
trust input_files/RomeoAndJuliet.txt:5
cunning input_files/RomeoAndJuliet.txt:2
confess input_files/RomeoAndJuliet.txt:3
overheardst input_files/RomeoAndJuliet.txt:1
truelove input_files/RomeoAndJuliet.txt:1
pardon input_files/RomeoAndJuliet.txt:10
impute input_files/RomeoAndJuliet.txt:1
yielding input_files/RomeoAndJuliet.txt:1
discovered input_files/RomeoAndJuliet.txt:2
tips input_files/RomeoAndJuliet.txt:1
silver input_files/RomeoAndJuliet.txt:9
fruittree input_files/RomeoAndJuliet.txt:1
tops input_files/RomeoAndJuliet.txt:2
monthly input_files/RomeoAndJuliet.txt:1
changes input_files/RomeoAndJuliet.txt:1
circled input_files/RomeoAndJuliet.txt:1
orb input_files/RomeoAndJuliet.txt:1
likewise input_files/RomeoAndJuliet.txt:2
variable input_files/RomeoAndJuliet.txt:1
gracious input_files/RomeoAndJuliet.txt:1
idolatry input_files/RomeoAndJuliet.txt:1
although input_files/RomeoAndJuliet.txt:1
joy input_files/RomeoAndJuliet.txt:14
contract input_files/RomeoAndJuliet.txt:2
rash input_files/RomeoAndJuliet.txt:1
unadvisd input_files/RomeoAndJuliet.txt:1
sudden input_files/RomeoAndJuliet.txt:7
lightning input_files/RomeoAndJuliet.txt:4
cease input_files/RomeoAndJuliet.txt:4
lightens input_files/RomeoAndJuliet.txt:1
ripening input_files/RomeoAndJuliet.txt:1
breath input_files/RomeoAndJuliet.txt:14
flowr input_files/RomeoAndJuliet.txt:1
next input_files/RomeoAndJuliet.txt:7
repose input_files/RomeoAndJuliet.txt:1
unsatisfied input_files/RomeoAndJuliet.txt:1
satisfaction input_files/RomeoAndJuliet.txt:1
exchange input_files/RomeoAndJuliet.txt:3
faithful input_files/RomeoAndJuliet.txt:3
gave input_files/RomeoAndJuliet.txt:5
didst input_files/RomeoAndJuliet.txt:6
request input_files/RomeoAndJuliet.txt:2
wouldst input_files/RomeoAndJuliet.txt:4
purpose input_files/RomeoAndJuliet.txt:5
frank input_files/RomeoAndJuliet.txt:1
bounty input_files/RomeoAndJuliet.txt:1
boundless input_files/RomeoAndJuliet.txt:1
infinite input_files/RomeoAndJuliet.txt:1
adieu input_files/RomeoAndJuliet.txt:4
afeard input_files/RomeoAndJuliet.txt:1
flatteringsweet input_files/RomeoAndJuliet.txt:1
substantial input_files/RomeoAndJuliet.txt:1
bent input_files/RomeoAndJuliet.txt:1
send input_files/RomeoAndJuliet.txt:14
tomorrow input_files/RomeoAndJuliet.txt:15
procure input_files/RomeoAndJuliet.txt:1
perform input_files/RomeoAndJuliet.txt:2
rite input_files/RomeoAndJuliet.txt:2
fortunes input_files/RomeoAndJuliet.txt:3
throughout input_files/RomeoAndJuliet.txt:2
meanest input_files/RomeoAndJuliet.txt:1
byandby input_files/RomeoAndJuliet.txt:5
thrive input_files/RomeoAndJuliet.txt:1
worse input_files/RomeoAndJuliet.txt:3
want input_files/RomeoAndJuliet.txt:2
toward input_files/RomeoAndJuliet.txt:3
schoolboys input_files/RomeoAndJuliet.txt:1
books input_files/RomeoAndJuliet.txt:1
school input_files/RomeoAndJuliet.txt:1
hist input_files/RomeoAndJuliet.txt:2
falconers input_files/RomeoAndJuliet.txt:1
lure input_files/RomeoAndJuliet.txt:1
tasselgentle input_files/RomeoAndJuliet.txt:1
bondage input_files/RomeoAndJuliet.txt:1
hoarse input_files/RomeoAndJuliet.txt:2
aloud input_files/RomeoAndJuliet.txt:2
cave input_files/RomeoAndJuliet.txt:2
echo input_files/RomeoAndJuliet.txt:1
tongue input_files/RomeoAndJuliet.txt:10
repetition input_files/RomeoAndJuliet.txt:1
silversweet input_files/RomeoAndJuliet.txt:1
softest input_files/RomeoAndJuliet.txt:1
attending input_files/RomeoAndJuliet.txt:1
oclock input_files/RomeoAndJuliet.txt:2
fail input_files/RomeoAndJuliet.txt:2
forgot input_files/RomeoAndJuliet.txt:2
remembring input_files/RomeoAndJuliet.txt:1
company input_files/RomeoAndJuliet.txt:6
forgetting input_files/RomeoAndJuliet.txt:1
bird input_files/RomeoAndJuliet.txt:2
hop input_files/RomeoAndJuliet.txt:1
prisoner input_files/RomeoAndJuliet.txt:1
twisted input_files/RomeoAndJuliet.txt:1
gyves input_files/RomeoAndJuliet.txt:1
silk input_files/RomeoAndJuliet.txt:2
thread input_files/RomeoAndJuliet.txt:1
plucks input_files/RomeoAndJuliet.txt:1
lovingjealous input_files/RomeoAndJuliet.txt:1
cherishing input_files/RomeoAndJuliet.txt:1
parting input_files/RomeoAndJuliet.txt:1
sorrow input_files/RomeoAndJuliet.txt:8
ghostly input_files/RomeoAndJuliet.txt:4
fathers input_files/RomeoAndJuliet.txt:4
cell input_files/RomeoAndJuliet.txt:17
help input_files/RomeoAndJuliet.txt:21
crave input_files/RomeoAndJuliet.txt:1
hap input_files/RomeoAndJuliet.txt:2
laurences input_files/RomeoAndJuliet.txt:5
basket input_files/RomeoAndJuliet.txt:1
greyeyd input_files/RomeoAndJuliet.txt:1
morn input_files/RomeoAndJuliet.txt:3
smiles input_files/RomeoAndJuliet.txt:2
frowning input_files/RomeoAndJuliet.txt:1
checkring input_files/RomeoAndJuliet.txt:1
eastern input_files/RomeoAndJuliet.txt:1
streaks input_files/RomeoAndJuliet.txt:2
flecked input_files/RomeoAndJuliet.txt:1
darkness input_files/RomeoAndJuliet.txt:1
drunkard input_files/RomeoAndJuliet.txt:1
reels input_files/RomeoAndJuliet.txt:1
path input_files/RomeoAndJuliet.txt:1
titans input_files/RomeoAndJuliet.txt:1
wheels input_files/RomeoAndJuliet.txt:1
non input_files/RomeoAndJuliet.txt:2
advance input_files/RomeoAndJuliet.txt:1
cheer input_files/RomeoAndJuliet.txt:2
dank input_files/RomeoAndJuliet.txt:1
dry input_files/RomeoAndJuliet.txt:4
upfill input_files/RomeoAndJuliet.txt:1
osier input_files/RomeoAndJuliet.txt:1
cage input_files/RomeoAndJuliet.txt:1
ours input_files/RomeoAndJuliet.txt:2
baleful input_files/RomeoAndJuliet.txt:1
weeds input_files/RomeoAndJuliet.txt:2
preciousjuiced input_files/RomeoAndJuliet.txt:1
flowers input_files/RomeoAndJuliet.txt:6
natures input_files/RomeoAndJuliet.txt:2
tomb input_files/RomeoAndJuliet.txt:10
burying input_files/RomeoAndJuliet.txt:1
womb input_files/RomeoAndJuliet.txt:4
divers input_files/RomeoAndJuliet.txt:1
sucking input_files/RomeoAndJuliet.txt:1
natural input_files/RomeoAndJuliet.txt:2
virtues input_files/RomeoAndJuliet.txt:1
mickle input_files/RomeoAndJuliet.txt:1
powerful input_files/RomeoAndJuliet.txt:1
plants input_files/RomeoAndJuliet.txt:1
herbs input_files/RomeoAndJuliet.txt:2
stones input_files/RomeoAndJuliet.txt:2
qualities input_files/RomeoAndJuliet.txt:1
special input_files/RomeoAndJuliet.txt:2
aught input_files/RomeoAndJuliet.txt:2
straind input_files/RomeoAndJuliet.txt:1
revolts input_files/RomeoAndJuliet.txt:1
stumbling input_files/RomeoAndJuliet.txt:1
abuse input_files/RomeoAndJuliet.txt:1
virtue input_files/RomeoAndJuliet.txt:1
itself input_files/RomeoAndJuliet.txt:6
turns input_files/RomeoAndJuliet.txt:3
vice input_files/RomeoAndJuliet.txt:2
misapplied input_files/RomeoAndJuliet.txt:1
action input_files/RomeoAndJuliet.txt:1
dignified input_files/RomeoAndJuliet.txt:1
infant input_files/RomeoAndJuliet.txt:1
rind input_files/RomeoAndJuliet.txt:1
residence input_files/RomeoAndJuliet.txt:1
medicine input_files/RomeoAndJuliet.txt:1
smelt input_files/RomeoAndJuliet.txt:1
cheers input_files/RomeoAndJuliet.txt:1
tasted input_files/RomeoAndJuliet.txt:1
slays input_files/RomeoAndJuliet.txt:1
senses input_files/RomeoAndJuliet.txt:1
opposed input_files/RomeoAndJuliet.txt:1
kings input_files/RomeoAndJuliet.txt:1
encamp input_files/RomeoAndJuliet.txt:1
worser input_files/RomeoAndJuliet.txt:2
predominant input_files/RomeoAndJuliet.txt:1
full input_files/RomeoAndJuliet.txt:24
canker input_files/RomeoAndJuliet.txt:1
eats input_files/RomeoAndJuliet.txt:1
plant input_files/RomeoAndJuliet.txt:1
benedicite input_files/RomeoAndJuliet.txt:1
saluteth input_files/RomeoAndJuliet.txt:1
argues input_files/RomeoAndJuliet.txt:1
distempered input_files/RomeoAndJuliet.txt:1
keeps input_files/RomeoAndJuliet.txt:3
mans input_files/RomeoAndJuliet.txt:5
lodges input_files/RomeoAndJuliet.txt:1
unbruised input_files/RomeoAndJuliet.txt:1
unstuffd input_files/RomeoAndJuliet.txt:1
couch input_files/RomeoAndJuliet.txt:1
limbs input_files/RomeoAndJuliet.txt:2
reign input_files/RomeoAndJuliet.txt:2
earliness input_files/RomeoAndJuliet.txt:1
assure input_files/RomeoAndJuliet.txt:1
uprousd input_files/RomeoAndJuliet.txt:1
distemprature input_files/RomeoAndJuliet.txt:1
truethe input_files/RomeoAndJuliet.txt:1
sweeter input_files/RomeoAndJuliet.txt:1
feasting input_files/RomeoAndJuliet.txt:2
wounded input_files/RomeoAndJuliet.txt:2
remedies input_files/RomeoAndJuliet.txt:2
physic input_files/RomeoAndJuliet.txt:1
hatred input_files/RomeoAndJuliet.txt:1
lo input_files/RomeoAndJuliet.txt:3
intercession input_files/RomeoAndJuliet.txt:1
steads input_files/RomeoAndJuliet.txt:1
plain input_files/RomeoAndJuliet.txt:3
homely input_files/RomeoAndJuliet.txt:1
drift input_files/RomeoAndJuliet.txt:2
riddling input_files/RomeoAndJuliet.txt:2
confession input_files/RomeoAndJuliet.txt:3
finds input_files/RomeoAndJuliet.txt:2
plainly input_files/RomeoAndJuliet.txt:1
combind input_files/RomeoAndJuliet.txt:1
combine input_files/RomeoAndJuliet.txt:1
met input_files/RomeoAndJuliet.txt:5
francis input_files/RomeoAndJuliet.txt:2
forsaken input_files/RomeoAndJuliet.txt:1
truly input_files/RomeoAndJuliet.txt:3
jesu input_files/RomeoAndJuliet.txt:3
maria input_files/RomeoAndJuliet.txt:1
deal input_files/RomeoAndJuliet.txt:2
brine input_files/RomeoAndJuliet.txt:1
sallow input_files/RomeoAndJuliet.txt:1
cheeks input_files/RomeoAndJuliet.txt:6
salt input_files/RomeoAndJuliet.txt:3
water input_files/RomeoAndJuliet.txt:2
thrown input_files/RomeoAndJuliet.txt:1
season input_files/RomeoAndJuliet.txt:1
clears input_files/RomeoAndJuliet.txt:1
groans input_files/RomeoAndJuliet.txt:2
ring input_files/RomeoAndJuliet.txt:5
stain input_files/RomeoAndJuliet.txt:1
woes input_files/RomeoAndJuliet.txt:8
changd input_files/RomeoAndJuliet.txt:3
theres input_files/RomeoAndJuliet.txt:5
chidst input_files/RomeoAndJuliet.txt:1
doting input_files/RomeoAndJuliet.txt:2
pupil input_files/RomeoAndJuliet.txt:1
badst input_files/RomeoAndJuliet.txt:1
chide input_files/RomeoAndJuliet.txt:5
allow input_files/RomeoAndJuliet.txt:2
rote input_files/RomeoAndJuliet.txt:1
spell input_files/RomeoAndJuliet.txt:1
waverer input_files/RomeoAndJuliet.txt:1
assistant input_files/RomeoAndJuliet.txt:1
alliance input_files/RomeoAndJuliet.txt:1
rancour input_files/RomeoAndJuliet.txt:1
pure input_files/RomeoAndJuliet.txt:3
haste input_files/RomeoAndJuliet.txt:14
slow input_files/RomeoAndJuliet.txt:4
stumble input_files/RomeoAndJuliet.txt:1
devil input_files/RomeoAndJuliet.txt:3
hardhearted input_files/RomeoAndJuliet.txt:1
wench input_files/RomeoAndJuliet.txt:4
torments input_files/RomeoAndJuliet.txt:1
sure input_files/RomeoAndJuliet.txt:4
letter input_files/RomeoAndJuliet.txt:14
challenge input_files/RomeoAndJuliet.txt:2
write input_files/RomeoAndJuliet.txt:2
dared input_files/RomeoAndJuliet.txt:1
stabbd input_files/RomeoAndJuliet.txt:1
white input_files/RomeoAndJuliet.txt:2
wenchs input_files/RomeoAndJuliet.txt:1
song input_files/RomeoAndJuliet.txt:1
pin input_files/RomeoAndJuliet.txt:1
cleft input_files/RomeoAndJuliet.txt:1
bowboys input_files/RomeoAndJuliet.txt:1
buttshaft input_files/RomeoAndJuliet.txt:1
cats input_files/RomeoAndJuliet.txt:2
courageous input_files/RomeoAndJuliet.txt:1
captain input_files/RomeoAndJuliet.txt:1
compliments input_files/RomeoAndJuliet.txt:1
fights input_files/RomeoAndJuliet.txt:2
pricksongkeeps input_files/RomeoAndJuliet.txt:1
distance input_files/RomeoAndJuliet.txt:1
proportion input_files/RomeoAndJuliet.txt:1
rests input_files/RomeoAndJuliet.txt:1
minim input_files/RomeoAndJuliet.txt:1
third input_files/RomeoAndJuliet.txt:1
butcher input_files/RomeoAndJuliet.txt:1
button input_files/RomeoAndJuliet.txt:1
duellist input_files/RomeoAndJuliet.txt:2
second input_files/RomeoAndJuliet.txt:7
immortal input_files/RomeoAndJuliet.txt:3
passado input_files/RomeoAndJuliet.txt:2
punto input_files/RomeoAndJuliet.txt:1
reverse input_files/RomeoAndJuliet.txt:2
hay input_files/RomeoAndJuliet.txt:1
pox input_files/RomeoAndJuliet.txt:1
lisping input_files/RomeoAndJuliet.txt:1
affecting input_files/RomeoAndJuliet.txt:1
fantasticoes input_files/RomeoAndJuliet.txt:1
tuners input_files/RomeoAndJuliet.txt:1
accent input_files/RomeoAndJuliet.txt:1
tall input_files/RomeoAndJuliet.txt:1
whore input_files/RomeoAndJuliet.txt:1
lamentable input_files/RomeoAndJuliet.txt:5
grandsir input_files/RomeoAndJuliet.txt:1
afflicted input_files/RomeoAndJuliet.txt:1
flies input_files/RomeoAndJuliet.txt:4
fashionmongers input_files/RomeoAndJuliet.txt:1
pardonamis input_files/RomeoAndJuliet.txt:1
ease input_files/RomeoAndJuliet.txt:5
bench input_files/RomeoAndJuliet.txt:1
bones input_files/RomeoAndJuliet.txt:8
roe input_files/RomeoAndJuliet.txt:1
dried input_files/RomeoAndJuliet.txt:1
herring input_files/RomeoAndJuliet.txt:1
fishified input_files/RomeoAndJuliet.txt:1
numbers input_files/RomeoAndJuliet.txt:1
petrarch input_files/RomeoAndJuliet.txt:1
flowed input_files/RomeoAndJuliet.txt:1
laura input_files/RomeoAndJuliet.txt:1
kitchen input_files/RomeoAndJuliet.txt:1
berhyme input_files/RomeoAndJuliet.txt:1
dido input_files/RomeoAndJuliet.txt:1
dowdy input_files/RomeoAndJuliet.txt:1
cleopatra input_files/RomeoAndJuliet.txt:1
gypsy input_files/RomeoAndJuliet.txt:1
helen input_files/RomeoAndJuliet.txt:1
hero input_files/RomeoAndJuliet.txt:1
hildings input_files/RomeoAndJuliet.txt:1
harlots input_files/RomeoAndJuliet.txt:1
gray input_files/RomeoAndJuliet.txt:1
bon input_files/RomeoAndJuliet.txt:1
jour input_files/RomeoAndJuliet.txt:1
french input_files/RomeoAndJuliet.txt:2
salutation input_files/RomeoAndJuliet.txt:1
slop input_files/RomeoAndJuliet.txt:1
counterfeit input_files/RomeoAndJuliet.txt:2
fairly input_files/RomeoAndJuliet.txt:2
slip input_files/RomeoAndJuliet.txt:2
conceive input_files/RomeoAndJuliet.txt:1
strain input_files/RomeoAndJuliet.txt:1
courtesy input_files/RomeoAndJuliet.txt:3
constrains input_files/RomeoAndJuliet.txt:1
hams input_files/RomeoAndJuliet.txt:1
cursy input_files/RomeoAndJuliet.txt:1
kindly input_files/RomeoAndJuliet.txt:1
courteous input_files/RomeoAndJuliet.txt:3
exposition input_files/RomeoAndJuliet.txt:1
pink input_files/RomeoAndJuliet.txt:2
pump input_files/RomeoAndJuliet.txt:2
wellflowerd input_files/RomeoAndJuliet.txt:1
single input_files/RomeoAndJuliet.txt:1
sole input_files/RomeoAndJuliet.txt:2
remain input_files/RomeoAndJuliet.txt:3
wearing input_files/RomeoAndJuliet.txt:2
solely input_files/RomeoAndJuliet.txt:2
singular input_files/RomeoAndJuliet.txt:2
singlesold input_files/RomeoAndJuliet.txt:1
singleness input_files/RomeoAndJuliet.txt:1
faint input_files/RomeoAndJuliet.txt:3
swits input_files/RomeoAndJuliet.txt:2
spurs input_files/RomeoAndJuliet.txt:2
wildgoose input_files/RomeoAndJuliet.txt:1
chase input_files/RomeoAndJuliet.txt:1
wild input_files/RomeoAndJuliet.txt:4
goose input_files/RomeoAndJuliet.txt:7
whole input_files/RomeoAndJuliet.txt:3
sweeting input_files/RomeoAndJuliet.txt:1
sharp input_files/RomeoAndJuliet.txt:2
sauce input_files/RomeoAndJuliet.txt:1
cheveril input_files/RomeoAndJuliet.txt:1
stretches input_files/RomeoAndJuliet.txt:1
inch input_files/RomeoAndJuliet.txt:1
narrow input_files/RomeoAndJuliet.txt:1
ell input_files/RomeoAndJuliet.txt:1
broad input_files/RomeoAndJuliet.txt:4
stretch input_files/RomeoAndJuliet.txt:1
added input_files/RomeoAndJuliet.txt:1
proves input_files/RomeoAndJuliet.txt:1
wide input_files/RomeoAndJuliet.txt:4
groaning input_files/RomeoAndJuliet.txt:1
sociable input_files/RomeoAndJuliet.txt:1
drivelling input_files/RomeoAndJuliet.txt:1
runs input_files/RomeoAndJuliet.txt:1
lolling input_files/RomeoAndJuliet.txt:1
bauble input_files/RomeoAndJuliet.txt:1
hole input_files/RomeoAndJuliet.txt:1
stop input_files/RomeoAndJuliet.txt:5
desirest input_files/RomeoAndJuliet.txt:1
hair input_files/RomeoAndJuliet.txt:4
large input_files/RomeoAndJuliet.txt:1
deceivd input_files/RomeoAndJuliet.txt:2
depth input_files/RomeoAndJuliet.txt:1
meant input_files/RomeoAndJuliet.txt:2
occupy input_files/RomeoAndJuliet.txt:1
argument input_files/RomeoAndJuliet.txt:1
goodly input_files/RomeoAndJuliet.txt:1
gear input_files/RomeoAndJuliet.txt:2
shirt input_files/RomeoAndJuliet.txt:1
smock input_files/RomeoAndJuliet.txt:1
fan input_files/RomeoAndJuliet.txt:2
fans input_files/RomeoAndJuliet.txt:1
goodden input_files/RomeoAndJuliet.txt:2
gentlewoman input_files/RomeoAndJuliet.txt:4
bawdy input_files/RomeoAndJuliet.txt:1
dial input_files/RomeoAndJuliet.txt:1
noon input_files/RomeoAndJuliet.txt:1
mar input_files/RomeoAndJuliet.txt:2
troth input_files/RomeoAndJuliet.txt:2
older input_files/RomeoAndJuliet.txt:1
youngest input_files/RomeoAndJuliet.txt:1
fault input_files/RomeoAndJuliet.txt:4
worst input_files/RomeoAndJuliet.txt:1
confidence input_files/RomeoAndJuliet.txt:1
endite input_files/RomeoAndJuliet.txt:1
bawd input_files/RomeoAndJuliet.txt:3
hare input_files/RomeoAndJuliet.txt:5
lenten input_files/RomeoAndJuliet.txt:1
pie input_files/RomeoAndJuliet.txt:1
something input_files/RomeoAndJuliet.txt:4
stale input_files/RomeoAndJuliet.txt:1
hoar input_files/RomeoAndJuliet.txt:4
spent input_files/RomeoAndJuliet.txt:3
walks input_files/RomeoAndJuliet.txt:2
sings input_files/RomeoAndJuliet.txt:4
meat input_files/RomeoAndJuliet.txt:3
score input_files/RomeoAndJuliet.txt:1
hoars input_files/RomeoAndJuliet.txt:1
dinner input_files/RomeoAndJuliet.txt:3
merchant input_files/RomeoAndJuliet.txt:1
ropery input_files/RomeoAndJuliet.txt:1
minute input_files/RomeoAndJuliet.txt:4
month input_files/RomeoAndJuliet.txt:2
lustier input_files/RomeoAndJuliet.txt:1
jacks input_files/RomeoAndJuliet.txt:1
scurvy input_files/RomeoAndJuliet.txt:2
knave input_files/RomeoAndJuliet.txt:4
flirtgills input_files/RomeoAndJuliet.txt:1
skainsmates input_files/RomeoAndJuliet.txt:1
suffer input_files/RomeoAndJuliet.txt:1
occasion input_files/RomeoAndJuliet.txt:3
afore input_files/RomeoAndJuliet.txt:3
vexed input_files/RomeoAndJuliet.txt:1
quivers input_files/RomeoAndJuliet.txt:1
told input_files/RomeoAndJuliet.txt:3
paradise input_files/RomeoAndJuliet.txt:2
gross input_files/RomeoAndJuliet.txt:2
behaviour input_files/RomeoAndJuliet.txt:1
double input_files/RomeoAndJuliet.txt:1
offred input_files/RomeoAndJuliet.txt:1
dealing input_files/RomeoAndJuliet.txt:1
commend input_files/RomeoAndJuliet.txt:5
protest input_files/RomeoAndJuliet.txt:3
joyful input_files/RomeoAndJuliet.txt:5
gentlemanlike input_files/RomeoAndJuliet.txt:1
offer input_files/RomeoAndJuliet.txt:2
devise input_files/RomeoAndJuliet.txt:3
shrivd input_files/RomeoAndJuliet.txt:1
pains input_files/RomeoAndJuliet.txt:2
penny input_files/RomeoAndJuliet.txt:1
behind input_files/RomeoAndJuliet.txt:2
abbey input_files/RomeoAndJuliet.txt:1
bring input_files/RomeoAndJuliet.txt:11
cords input_files/RomeoAndJuliet.txt:6
tackled input_files/RomeoAndJuliet.txt:1
stair input_files/RomeoAndJuliet.txt:1
topgallant input_files/RomeoAndJuliet.txt:1
convoy input_files/RomeoAndJuliet.txt:1
trusty input_files/RomeoAndJuliet.txt:1
quit input_files/RomeoAndJuliet.txt:1
bless input_files/RomeoAndJuliet.txt:2
hark input_files/RomeoAndJuliet.txt:4
sayst input_files/RomeoAndJuliet.txt:2
putting input_files/RomeoAndJuliet.txt:1
sweetest input_files/RomeoAndJuliet.txt:3
prating input_files/RomeoAndJuliet.txt:1
nobleman input_files/RomeoAndJuliet.txt:1
knife input_files/RomeoAndJuliet.txt:4
aboard input_files/RomeoAndJuliet.txt:1
lieve input_files/RomeoAndJuliet.txt:1
toad input_files/RomeoAndJuliet.txt:3
properer input_files/RomeoAndJuliet.txt:1
clout input_files/RomeoAndJuliet.txt:1
versal input_files/RomeoAndJuliet.txt:1
rosemary input_files/RomeoAndJuliet.txt:3
r input_files/RomeoAndJuliet.txt:2
mocker input_files/RomeoAndJuliet.txt:1
dogs input_files/RomeoAndJuliet.txt:1
begins input_files/RomeoAndJuliet.txt:2
sententious input_files/RomeoAndJuliet.txt:1
apace input_files/RomeoAndJuliet.txt:2
clock input_files/RomeoAndJuliet.txt:1
promisd input_files/RomeoAndJuliet.txt:1
perchance input_files/RomeoAndJuliet.txt:1
lame input_files/RomeoAndJuliet.txt:1
heralds input_files/RomeoAndJuliet.txt:1
thoughts input_files/RomeoAndJuliet.txt:3
ten input_files/RomeoAndJuliet.txt:2
faster input_files/RomeoAndJuliet.txt:1
glide input_files/RomeoAndJuliet.txt:1
suns input_files/RomeoAndJuliet.txt:1
driving input_files/RomeoAndJuliet.txt:1
shadows input_files/RomeoAndJuliet.txt:2
over input_files/RomeoAndJuliet.txt:2
lowring input_files/RomeoAndJuliet.txt:1
hills input_files/RomeoAndJuliet.txt:1
nimblepiniond input_files/RomeoAndJuliet.txt:1
doves input_files/RomeoAndJuliet.txt:1
windswift input_files/RomeoAndJuliet.txt:1
highmost input_files/RomeoAndJuliet.txt:1
hill input_files/RomeoAndJuliet.txt:1
journey input_files/RomeoAndJuliet.txt:1
warm input_files/RomeoAndJuliet.txt:4
youthful input_files/RomeoAndJuliet.txt:3
swift input_files/RomeoAndJuliet.txt:3
motion input_files/RomeoAndJuliet.txt:2
ball input_files/RomeoAndJuliet.txt:1
bandy input_files/RomeoAndJuliet.txt:1
folks input_files/RomeoAndJuliet.txt:1
feign input_files/RomeoAndJuliet.txt:1
unwieldy input_files/RomeoAndJuliet.txt:1
honey input_files/RomeoAndJuliet.txt:3
news input_files/RomeoAndJuliet.txt:15
gate input_files/RomeoAndJuliet.txt:1
lookst input_files/RomeoAndJuliet.txt:2
merrily input_files/RomeoAndJuliet.txt:1
shamest input_files/RomeoAndJuliet.txt:2
playing input_files/RomeoAndJuliet.txt:1
sour input_files/RomeoAndJuliet.txt:4
aweary input_files/RomeoAndJuliet.txt:1
fie input_files/RomeoAndJuliet.txt:6
ache input_files/RomeoAndJuliet.txt:1
jaunce input_files/RomeoAndJuliet.txt:1
circumstance input_files/RomeoAndJuliet.txt:2
simple input_files/RomeoAndJuliet.txt:5
excels input_files/RomeoAndJuliet.txt:2
body input_files/RomeoAndJuliet.txt:9
ways input_files/RomeoAndJuliet.txt:3
dind input_files/RomeoAndJuliet.txt:1
aches input_files/RomeoAndJuliet.txt:1
pieces input_files/RomeoAndJuliet.txt:1
t input_files/RomeoAndJuliet.txt:1
beshrew input_files/RomeoAndJuliet.txt:4
sending input_files/RomeoAndJuliet.txt:2
catch input_files/RomeoAndJuliet.txt:1
jauncing input_files/RomeoAndJuliet.txt:1
sorry input_files/RomeoAndJuliet.txt:1
handsome input_files/RomeoAndJuliet.txt:1
oddly input_files/RomeoAndJuliet.txt:1
repliest input_files/RomeoAndJuliet.txt:1
gods input_files/RomeoAndJuliet.txt:3
poultice input_files/RomeoAndJuliet.txt:1
aching input_files/RomeoAndJuliet.txt:1
henceforward input_files/RomeoAndJuliet.txt:2
messages input_files/RomeoAndJuliet.txt:1
coil input_files/RomeoAndJuliet.txt:1
got input_files/RomeoAndJuliet.txt:3
hie input_files/RomeoAndJuliet.txt:8
wanton input_files/RomeoAndJuliet.txt:2
theyll input_files/RomeoAndJuliet.txt:1
church input_files/RomeoAndJuliet.txt:10
ladder input_files/RomeoAndJuliet.txt:1
nest input_files/RomeoAndJuliet.txt:2
drudge input_files/RomeoAndJuliet.txt:1
vi input_files/RomeoAndJuliet.txt:1
smile input_files/RomeoAndJuliet.txt:2
heavens input_files/RomeoAndJuliet.txt:4
afterhours input_files/RomeoAndJuliet.txt:1
amen input_files/RomeoAndJuliet.txt:4
countervail input_files/RomeoAndJuliet.txt:1
lovedevouring input_files/RomeoAndJuliet.txt:1
violent input_files/RomeoAndJuliet.txt:2
delights input_files/RomeoAndJuliet.txt:2
ends input_files/RomeoAndJuliet.txt:1
triumph input_files/RomeoAndJuliet.txt:2
powder input_files/RomeoAndJuliet.txt:3
consume input_files/RomeoAndJuliet.txt:1
loathsome input_files/RomeoAndJuliet.txt:3
deliciousness input_files/RomeoAndJuliet.txt:1
confounds input_files/RomeoAndJuliet.txt:1
appetite input_files/RomeoAndJuliet.txt:1
moderately input_files/RomeoAndJuliet.txt:1
arrives input_files/RomeoAndJuliet.txt:1
tardy input_files/RomeoAndJuliet.txt:1
everlasting input_files/RomeoAndJuliet.txt:2
flint input_files/RomeoAndJuliet.txt:1
bestride input_files/RomeoAndJuliet.txt:1
gossamer input_files/RomeoAndJuliet.txt:1
idles input_files/RomeoAndJuliet.txt:1
confessor input_files/RomeoAndJuliet.txt:2
thanks input_files/RomeoAndJuliet.txt:3
heapd input_files/RomeoAndJuliet.txt:1
skill input_files/RomeoAndJuliet.txt:1
blazon input_files/RomeoAndJuliet.txt:1
sweeten input_files/RomeoAndJuliet.txt:1
neighbour input_files/RomeoAndJuliet.txt:1
musics input_files/RomeoAndJuliet.txt:1
unfold input_files/RomeoAndJuliet.txt:1
imagind input_files/RomeoAndJuliet.txt:1
happiness input_files/RomeoAndJuliet.txt:2
receive input_files/RomeoAndJuliet.txt:4
conceit input_files/RomeoAndJuliet.txt:2
ornament input_files/RomeoAndJuliet.txt:2
beggars input_files/RomeoAndJuliet.txt:2
worth input_files/RomeoAndJuliet.txt:1
excess input_files/RomeoAndJuliet.txt:1
sum input_files/RomeoAndJuliet.txt:2
work input_files/RomeoAndJuliet.txt:48
incorporate input_files/RomeoAndJuliet.txt:1
retire input_files/RomeoAndJuliet.txt:1
scape input_files/RomeoAndJuliet.txt:2
brawl input_files/RomeoAndJuliet.txt:2
stirring input_files/RomeoAndJuliet.txt:1
